anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,9,Carmen de Areco,6161,4,1,5
2020,10,Carmen de Areco,6161,5,9,14
2020,11,Carmen de Areco,6161,4,8,12
2020,12,Carmen de Areco,6161,11,12,23
2020,1,Castelli,6168,2,7,9
2020,2,Castelli,6168,1,1,2
2020,3,Castelli,6168,2,2,4
2020,4,Castelli,6168,0,1,1
2020,5,Castelli,6168,3,5,8
2020,6,Castelli,6168,3,5,8
2020,7,Castelli,6168,4,3,7
2020,8,Castelli,6168,1,1,2
2020,9,Castelli,6168,5,6,11
2020,10,Castelli,6168,5,6,11
2020,11,Castelli,6168,3,2,5
2020,12,Castelli,6168,4,2,6
2020,1,Chacabuco,6210,23,16,39
2020,2,Chacabuco,6210,14,13,27
2020,3,Chacabuco,6210,19,16,35
2020,4,Chacabuco,6210,14,11,25
2020,5,Chacabuco,6210,22,20,42
2020,6,Chacabuco,6210,15,20,35
2020,7,Chacabuco,6210,19,18,37
2020,8,Chacabuco,6210,12,18,30
2020,9,Chacabuco,6210,16,22,38
2020,10,Chacabuco,6210,33,18,51
2020,11,Chacabuco,6210,19,20,39
2020,12,Chacabuco,6210,19,17,36
2020,1,Chascomús,6218,14,12,26
2020,2,Chascomús,6218,21,1,22
2020,3,Chascomús,6218,13,12,25
2020,4,Chascomús,6218,9,7,16
2020,5,Chascomús,6218,8,13,21
2020,6,Chascomús,6218,15,18,33
2020,7,Chascomús,6218,21,15,36
2020,8,Chascomús,6218,22,23,45
2020,9,Chascomús,6218,12,18,30
2020,10,Chascomús,6218,14,13,27
2020,11,Chascomús,6218,12,13,25
2020,12,Chascomús,6218,14,11,25
2020,1,Chivilcoy,6224,31,28,59
2020,2,Chivilcoy,6224,24,24,48
2020,3,Chivilcoy,6224,31,24,55
2020,4,Chivilcoy,6224,16,17,33
2020,5,Chivilcoy,6224,43,35,78
2020,6,Chivilcoy,6224,28,28,56
2020,7,Chivilcoy,6224,31,37,68
2020,8,Chivilcoy,6224,38,36,74
2020,9,Chivilcoy,6224,32,42,74
2020,10,Chivilcoy,6224,38,43,81
2020,11,Chivilcoy,6224,34,42,76
2020,12,Chivilcoy,6224,34,32,66
2020,1,Colón,6175,6,7,13
2020,2,Colón,6175,8,12,20
2020,3,Colón,6175,8,6,14
2020,4,Colón,6175,9,6,15
2020,5,Colón,6175,10,11,21
2020,6,Colón,6175,8,14,22
2020,7,Colón,6175,11,10,21
2020,8,Colón,6175,6,14,20
2020,9,Colón,6175,24,19,43
2020,10,Colón,6175,10,8,18
2020,11,Colón,6175,13,15,28
2020,12,Colón,6175,12,17,29
2020,1,Coronel de Marina Leonardo Rosales,6182,11,15,26
2020,2,Coronel de Marina Leonardo Rosales,6182,10,10,20
2020,3,Coronel de Marina Leonardo Rosales,6182,8,6,14
2020,4,Coronel de Marina Leonardo Rosales,6182,8,10,18
2020,5,Coronel de Marina Leonardo Rosales,6182,16,10,26
2020,6,Coronel de Marina Leonardo Rosales,6182,11,10,21
2020,7,Coronel de Marina Leonardo Rosales,6182,14,14,28
2020,8,Coronel de Marina Leonardo Rosales,6182,13,12,25
2020,9,Coronel de Marina Leonardo Rosales,6182,11,16,27
2020,10,Coronel de Marina Leonardo Rosales,6182,15,14,29
2020,11,Coronel de Marina Leonardo Rosales,6182,10,16,26
2020,12,Coronel de Marina Leonardo Rosales,6182,3,3,6
2020,1,Coronel Dorrego,6189,6,8,14
2020,2,Coronel Dorrego,6189,8,6,14
2020,3,Coronel Dorrego,6189,5,7,12
2020,4,Coronel Dorrego,6189,2,4,6
2020,5,Coronel Dorrego,6189,3,3,6
2020,6,Coronel Dorrego,6189,3,4,7
2020,7,Coronel Dorrego,6189,12,9,21
2020,8,Coronel Dorrego,6189,7,7,14
2020,9,Coronel Dorrego,6189,5,5,10
2020,10,Coronel Dorrego,6189,10,4,14
2020,11,Coronel Dorrego,6189,3,8,11
2020,12,Coronel Dorrego,6189,3,6,9
2020,1,Coronel Pringles,6196,9,7,16
2020,2,Coronel Pringles,6196,9,6,15
2020,3,Coronel Pringles,6196,8,8,16
2020,4,Coronel Pringles,6196,6,7,13
2020,5,Coronel Pringles,6196,10,11,21
2020,6,Coronel Pringles,6196,11,9,20
2020,7,Coronel Pringles,6196,12,9,21
2020,8,Coronel Pringles,6196,5,12,17
2020,9,Coronel Pringles,6196,19,7,26
2020,10,Coronel Pringles,6196,11,20,31
2020,11,Coronel Pringles,6196,11,12,23
2020,12,Coronel Pringles,6196,13,13,26
2020,1,Coronel Suárez,6203,16,16,32
2020,2,Coronel Suárez,6203,8,15,23
2020,3,Coronel Suárez,6203,13,15,28
2020,4,Coronel Suárez,6203,15,10,25
2020,5,Coronel Suárez,6203,12,25,37
2020,6,Coronel Suárez,6203,10,12,22
2020,7,Coronel Suárez,6203,16,20,36
2020,8,Coronel Suárez,6203,19,21,40
2020,9,Coronel Suárez,6203,18,13,31
2020,10,Coronel Suárez,6203,18,25,43
2020,11,Coronel Suárez,6203,24,19,43
2020,12,Coronel Suárez,6203,22,12,34
2020,1,Daireaux,6231,5,4,9
2020,2,Daireaux,6231,9,2,11
2020,3,Daireaux,6231,6,5,11
2020,4,Daireaux,6231,5,6,11
2020,5,Daireaux,6231,8,7,15
2020,6,Daireaux,6231,10,7,17
2020,7,Daireaux,6231,5,3,8
2020,8,Daireaux,6231,8,3,11
2020,9,Daireaux,6231,6,7,13
2020,10,Daireaux,6231,2,4,6
2020,11,Daireaux,6231,3,6,9
2020,12,Daireaux,6231,8,5,13
2020,1,Dolores,6238,11,16,27
2020,2,Dolores,6238,13,8,21
2020,3,Dolores,6238,9,15,24
2020,4,Dolores,6238,9,3,12
2020,5,Dolores,6238,8,17,25
2020,6,Dolores,6238,12,17,29
2020,7,Dolores,6238,13,19,32
2020,8,Dolores,6238,12,8,20
2020,9,Dolores,6238,11,13,24
2020,10,Dolores,6238,10,16,26
2020,11,Dolores,6238,12,11,23
2020,12,Dolores,6238,16,13,29
2020,1,Ensenada,6245,16,20,36
2020,2,Ensenada,6245,10,19,29
2020,3,Ensenada,6245,5,11,16
2020,4,Ensenada,6245,10,7,17
2020,5,Ensenada,6245,14,24,38
2020,6,Ensenada,6245,18,23,41
2020,7,Ensenada,6245,29,24,53
2020,8,Ensenada,6245,26,31,57
2020,9,Ensenada,6245,31,35,66
2020,10,Ensenada,6245,28,26,54
2020,11,Ensenada,6245,34,21,55
2020,12,Ensenada,6245,21,13,34
2020,1,Escobar,6252,38,51,89
2020,2,Escobar,6252,46,45,91
2020,3,Escobar,6252,19,28,47
2020,4,Escobar,6252,25,44,69
2020,5,Escobar,6252,61,63,124
2020,6,Escobar,6252,49,63,112
2020,7,Escobar,6252,84,104,188
2020,8,Escobar,6252,106,105,211
2020,9,Escobar,6252,97,122,219
2020,10,Escobar,6252,75,113,188
2020,11,Escobar,6252,80,98,178
2020,12,Escobar,6252,66,95,161
2020,1,Esteban Echeverría,6260,46,56,102
2020,2,Esteban Echeverría,6260,42,63,105
2020,3,Esteban Echeverría,6260,30,30,60
2020,4,Esteban Echeverría,6260,0,0,0
2020,5,Esteban Echeverría,6260,0,0,0
2020,6,Esteban Echeverría,6260,0,0,0
2020,7,Esteban Echeverría,6260,0,0,0
2020,8,Esteban Echeverría,6260,0,0,0
2020,9,Esteban Echeverría,6260,0,0,0
2020,10,Esteban Echeverría,6260,1,0,1
2020,11,Esteban Echeverría,6260,37,50,87
2020,12,Esteban Echeverría,6260,50,60,110
2020,1,Exaltación de la Cruz,6266,4,5,9
2020,2,Exaltación de la Cruz,6266,11,9,20
2020,3,Exaltación de la Cruz,6266,9,10,19
2020,4,Exaltación de la Cruz,6266,9,10,19
2020,5,Exaltación de la Cruz,6266,11,17,28
2020,6,Exaltación de la Cruz,6266,6,5,11
2020,7,Exaltación de la Cruz,6266,7,8,15
2020,8,Exaltación de la Cruz,6266,7,10,17
2020,9,Exaltación de la Cruz,6266,14,10,24
2020,10,Exaltación de la Cruz,6266,9,15,24
2020,11,Exaltación de la Cruz,6266,12,13,25
2020,12,Exaltación de la Cruz,6266,7,9,16
2020,1,Ezeiza,6270,40,33,73
2020,2,Ezeiza,6270,30,41,71
2020,3,Ezeiza,6270,14,17,31
2020,4,Ezeiza,6270,0,0,0
2020,5,Ezeiza,6270,0,0,0
2020,6,Ezeiza,6270,0,0,0
2020,7,Ezeiza,6270,0,0,0
2020,8,Ezeiza,6270,0,0,0
2020,9,Ezeiza,6270,0,1,1
2020,10,Ezeiza,6270,1,0,1
2020,11,Ezeiza,6270,15,35,50
2020,12,Ezeiza,6270,59,87,146
2020,1,Florencio Varela,6274,47,67,114
2020,2,Florencio Varela,6274,55,66,121
2020,3,Florencio Varela,6274,35,60,95
2020,4,Florencio Varela,6274,53,62,115
2020,5,Florencio Varela,6274,63,85,148
2020,6,Florencio Varela,6274,83,97,180
2020,7,Florencio Varela,6274,96,117,213
2020,8,Florencio Varela,6274,93,139,232
2020,9,Florencio Varela,6274,87,125,212
2020,10,Florencio Varela,6274,68,103,171
2020,11,Florencio Varela,6274,73,100,173
2020,12,Florencio Varela,6274,56,55,111
2020,1,Florentino Ameghino,6277,0,1,1
2020,2,Florentino Ameghino,6277,1,2,3
2020,3,Florentino Ameghino,6277,3,2,5
2020,4,Florentino Ameghino,6277,2,3,5
2020,5,Florentino Ameghino,6277,2,4,6
2020,6,Florentino Ameghino,6277,1,3,4
2020,7,Florentino Ameghino,6277,1,1,2
2020,8,Florentino Ameghino,6277,3,3,6
2020,9,Florentino Ameghino,6277,1,4,5
2020,10,Florentino Ameghino,6277,1,1,2
2020,11,Florentino Ameghino,6277,2,1,3
2020,12,Florentino Ameghino,6277,2,2,4
2020,1,General Alvarado,6280,6,13,19
2020,2,General Alvarado,6280,11,13,24
2020,3,General Alvarado,6280,11,15,26
2020,4,General Alvarado,6280,11,9,20
2020,5,General Alvarado,6280,15,11,26
2020,6,General Alvarado,6280,14,14,28
2020,7,General Alvarado,6280,19,23,42
2020,8,General Alvarado,6280,12,19,31
2020,9,General Alvarado,6280,16,19,35
2020,10,General Alvarado,6280,21,27,48
2020,11,General Alvarado,6280,9,14,23
2020,12,General Alvarado,6280,20,13,33
2020,1,General Alvear,6287,2,2,4
2020,2,General Alvear,6287,1,1,2
2020,3,General Alvear,6287,4,1,5
2020,4,General Alvear,6287,1,4,5
2020,5,General Alvear,6287,0,4,4
2020,6,General Alvear,6287,5,1,6
2020,7,General Alvear,6287,1,7,8
2020,8,General Alvear,6287,7,6,13
2020,9,General Alvear,6287,5,2,7
2020,10,General Alvear,6287,7,0,7
2020,11,General Alvear,6287,1,6,7
2020,12,General Alvear,6287,2,10,12
2020,1,General Arenales,6294,2,4,6
2020,2,General Arenales,6294,5,2,7
2020,3,General Arenales,6294,7,8,15
2020,4,General Arenales,6294,4,11,15
2020,5,General Arenales,6294,11,3,14
2020,6,General Arenales,6294,3,7,10
2020,7,General Arenales,6294,7,6,13
2020,8,General Arenales,6294,4,6,10
2020,9,General Arenales,6294,7,5,12
2020,10,General Arenales,6294,10,5,15
2020,11,General Arenales,6294,7,10,17
2020,12,General Arenales,6294,10,7,17
2020,1,General Belgrano,6301,3,2,5
2020,2,General Belgrano,6301,6,6,12
2020,3,General Belgrano,6301,9,7,16
2020,4,General Belgrano,6301,2,4,6
2020,5,General Belgrano,6301,7,8,15
2020,6,General Belgrano,6301,9,11,20
2020,7,General Belgrano,6301,2,5,7
2020,8,General Belgrano,6301,13,10,23
